feature,rank_shap,shap_importance,model
0_Wavelet entropy,36,0.00967970238773,Bayesian Ridge
0_Mean diff,37,0.0093456195465163,Bayesian Ridge
0_Slope,38,0.0085215591809569,Bayesian Ridge
0_LPCC_5,39,0.0044685346238722,Bayesian Ridge
0_Wavelet absolute mean_125000000.0Hz,40,0.0039175014493916,Bayesian Ridge
0_Median absolute diff,41,0.0001938303235607,Bayesian Ridge
0_Median diff,42,9.087862067885814e-05,Bayesian Ridge
0_Peak to peak distance,1,33.660813730673055,XGBoost
0_Spectral entropy,2,19.1302530639315,XGBoost
0_Autocorrelation,3,12.745655359613895,XGBoost
0_Entropy,4,4.227293890376111,XGBoost
0_Absolute energy,5,3.491873681001488,XGBoost
0_Spectral variation,6,2.563148929053855,XGBoost
0_Mean diff,7,2.0026765792179244,XGBoost
0_LPCC_0,8,1.4861591834347072,XGBoost
0_Interquartile range,9,1.4675874171960166,XGBoost
0_Slope,10,1.3451225427508355,XGBoost
0_MFCC_11,11,0.8244379655212164,XGBoost
0_Fundamental frequency,12,0.7930001838155093,XGBoost
0_Max,13,0.7905835852477389,XGBoost
0_Histogram mode,14,0.7038530605924627,XGBoost
0_MFCC_5,15,0.6402057410813867,XGBoost
0_MFCC_8,16,0.5670456878803671,XGBoost
0_ECDF Percentile_0,17,0.5341299840650211,XGBoost
0_Wavelet energy_125000000.0Hz,18,0.5072659733949847,XGBoost
0_MFCC_9,19,0.5008498539957529,XGBoost
0_MFCC_10,20,0.4842289279967235,XGBoost
0_Wavelet absolute mean_125000000.0Hz,21,0.474413933236276,XGBoost
0_Wavelet entropy,22,0.3808516526855839,XGBoost
0_Spectral positive turning points,23,0.3729858011143903,XGBoost
0_Spectral decrease,24,0.3373810914202903,XGBoost
0_MFCC_4,25,0.3235431272286922,XGBoost
0_Median,26,0.2457782579510783,XGBoost
0_LPCC_6,27,0.24094049318855,XGBoost
0_MFCC_0,28,0.2405780731227248,XGBoost
0_LPCC_1,29,0.2375088906391213,XGBoost
0_Zero crossing rate,30,0.2295666285030544,XGBoost
0_Maximum frequency,31,0.2209150226632133,XGBoost
0_Wavelet absolute mean_27777777.78Hz,32,0.2032213298128917,XGBoost
0_Negative turning points,33,0.1876071156541816,XGBoost
0_LPCC_5,34,0.1851037681538301,XGBoost
0_Mean,35,0.1189615407114848,XGBoost
0_ECDF Percentile_1,36,0.0809481069898853,XGBoost
0_Median frequency,37,0.0658593043645222,XGBoost
0_Median absolute diff,38,0.0541555273850759,XGBoost
0_Neighbourhood peaks,39,0.02491378551883,XGBoost
0_Median diff,40,0.0,XGBoost
0_Power bandwidth,41,0.0,XGBoost
0_Spectral roll-on,42,0.0,XGBoost
0_Peak to peak distance,1,10.027715865300443,SVR
0_Interquartile range,2,9.438401422321824,SVR
0_Spectral variation,3,9.428567083004731,SVR
0_Spectral entropy,4,9.264947779555742,SVR
0_Spectral decrease,5,9.013601433534616,SVR
0_ECDF Percentile_0,6,8.190295823619358,SVR
0_Wavelet absolute mean_27777777.78Hz,7,7.946461815269684,SVR
0_Absolute energy,8,7.684844998132086,SVR
0_Mean diff,9,6.725394426289594,SVR
0_LPCC_0,10,6.596971409969407,SVR
0_Median,11,5.596515769617716,SVR
0_Slope,12,5.051290781163856,SVR
0_MFCC_11,13,4.720745582008407,SVR
0_Max,14,2.8877707206370684,SVR
0_Wavelet absolute mean_125000000.0Hz,15,1.877893132443616,SVR
0_Mean,16,1.7620828704733331,SVR
0_MFCC_5,17,1.4666588023682996,SVR
0_Autocorrelation,18,0.933105750747794,SVR
0_Maximum frequency,19,0.594545985874918,SVR
0_Wavelet energy_125000000.0Hz,20,0.5267182808000436,SVR
0_MFCC_9,21,0.5041798875670326,SVR
0_Wavelet entropy,22,0.4624265742522322,SVR
0_MFCC_10,23,0.2716108106093841,SVR
0_LPCC_5,24,0.16412504726065,SVR
0_MFCC_4,25,0.1475627471207884,SVR
0_ECDF Percentile_1,26,0.0401089786938308,SVR
0_LPCC_1,27,0.0331578340737578,SVR
0_Fundamental frequency,28,0.0268702745323995,SVR
0_MFCC_8,29,0.0113957215544246,SVR
0_MFCC_0,30,0.008925728355855,SVR
0_Histogram mode,31,0.0,SVR
0_Entropy,32,0.0,SVR
0_LPCC_6,33,0.0,SVR
0_Median absolute diff,34,0.0,SVR
0_Median diff,35,0.0,SVR
0_Median frequency,36,0.0,SVR
0_Negative turning points,37,0.0,SVR
0_Neighbourhood peaks,38,0.0,SVR
0_Power bandwidth,39,0.0,SVR
0_Spectral roll-on,40,0.0,SVR
0_Spectral positive turning points,41,0.0,SVR
0_Zero crossing rate,42,0.0,SVR
0_Peak to peak distance,1,15.914253115763849,Random Forest
0_Spectral entropy,2,7.926439444531126,Random Forest
0_Absolute energy,3,7.005505010600318,Random Forest
0_Spectral variation,4,5.437737081168514,Random Forest
0_Autocorrelation,5,5.225716389910037,Random Forest
0_Interquartile range,6,4.797909163779174,Random Forest
0_Entropy,7,4.684278765356898,Random Forest
0_Wavelet energy_125000000.0Hz,8,2.42763060672554,Random Forest
0_Histogram mode,9,2.372942107200049,Random Forest
0_MFCC_11,10,2.321948200062561,Random Forest
0_ECDF Percentile_0,11,1.7545586025021196,Random Forest
0_LPCC_0,12,1.3801900560983769,Random Forest
0_Wavelet absolute mean_125000000.0Hz,13,1.3318077630729337,Random Forest
0_Mean diff,14,1.1353838316447258,Random Forest
0_Slope,15,1.0940848533133354,Random Forest
0_Wavelet absolute mean_27777777.78Hz,16,1.0846600283159566,Random Forest
0_MFCC_0,17,0.9240262164303804,Random Forest
0_Fundamental frequency,18,0.9004323913094434,Random Forest
0_ECDF Percentile_1,19,0.8476471955774311,Random Forest
0_MFCC_9,20,0.8394284634436947,Random Forest
0_MFCC_8,21,0.6754488338805966,Random Forest
0_Wavelet entropy,22,0.6622629715893262,Random Forest
0_MFCC_5,23,0.5694121453451614,Random Forest
0_MFCC_10,24,0.494971388905616,Random Forest
0_Maximum frequency,25,0.4683464994251886,Random Forest
0_Median frequency,26,0.3995949835685081,Random Forest
0_Max,27,0.3980490413785525,Random Forest
0_Spectral decrease,28,0.3308406297007963,Random Forest
0_Median,29,0.2991445676289887,Random Forest
0_LPCC_5,30,0.2234075378612615,Random Forest
0_Zero crossing rate,31,0.2219247960210467,Random Forest
0_LPCC_6,32,0.2046862451822341,Random Forest
0_LPCC_1,33,0.1877689512997555,Random Forest
0_MFCC_4,34,0.1772354388383528,Random Forest
0_Spectral positive turning points,35,0.1228904707689536,Random Forest
0_Mean,36,0.1159604951455646,Random Forest
0_Negative turning points,37,0.0516603122662752,Random Forest
0_Power bandwidth,38,0.0305273741604139,Random Forest
0_Median absolute diff,39,0.0146806940332055,Random Forest
0_Spectral roll-on,40,0.00809235022335,Random Forest
0_Neighbourhood peaks,41,0.0037558137276209,Random Forest
0_Median diff,42,0.0,Random Forest
0_Maximum frequency,1,82051656.98465753,Bayesian Ridge
0_Median frequency,2,2918905.795479924,Bayesian Ridge
0_Spectral roll-on,3,1162232.5849777528,Bayesian Ridge
0_Power bandwidth,4,923951.1337005198,Bayesian Ridge
0_Fundamental frequency,5,220456.48650845647,Bayesian Ridge
0_MFCC_11,6,1422.8193577253887,Bayesian Ridge
0_MFCC_4,7,1409.5814521342352,Bayesian Ridge
0_MFCC_9,8,1280.5310527252273,Bayesian Ridge
0_MFCC_5,9,1229.4150640228252,Bayesian Ridge
0_MFCC_8,10,448.5646709459208,Bayesian Ridge
0_MFCC_10,11,261.35391896016506,Bayesian Ridge
0_MFCC_0,12,202.06663095509296,Bayesian Ridge
0_Absolute energy,13,14.514049333281267,Bayesian Ridge
0_Spectral decrease,14,6.764585945017068,Bayesian Ridge
0_Peak to peak distance,15,6.497560495429265,Bayesian Ridge
0_Autocorrelation,16,5.796082067288856,Bayesian Ridge
0_Spectral positive turning points,17,4.3590868634424895,Bayesian Ridge
0_ECDF Percentile_0,18,3.2339940495025945,Bayesian Ridge
0_ECDF Percentile_1,19,2.142580649040947,Bayesian Ridge
0_Max,20,1.856096160684756,Bayesian Ridge
0_Mean,21,1.7500052958376258,Bayesian Ridge
0_Zero crossing rate,22,0.8850305136768515,Bayesian Ridge
0_Median,23,0.8441500694513867,Bayesian Ridge
0_Histogram mode,24,0.6278368967061229,Bayesian Ridge
0_Interquartile range,25,0.4928471907776278,Bayesian Ridge
0_Negative turning points,26,0.2613725817845674,Bayesian Ridge
0_Spectral variation,27,0.2477708708281589,Bayesian Ridge
0_Wavelet absolute mean_27777777.78Hz,28,0.2156928077442914,Bayesian Ridge
0_Spectral entropy,29,0.1443844450372077,Bayesian Ridge
0_Neighbourhood peaks,30,0.1384191451717274,Bayesian Ridge
0_LPCC_0,31,0.0929509883788692,Bayesian Ridge
0_Entropy,32,0.0778712736469363,Bayesian Ridge
0_Wavelet energy_125000000.0Hz,33,0.040849212315352,Bayesian Ridge
0_Wavelet entropy,34,0.038763540328415,Bayesian Ridge
0_LPCC_5,35,0.0360615609151825,Bayesian Ridge
0_LPCC_1,36,0.0348112162292111,Bayesian Ridge
0_Slope,37,0.0104015887849856,Bayesian Ridge
0_Mean diff,38,0.0073869259159721,Bayesian Ridge
0_LPCC_6,39,0.0030197460125579,Bayesian Ridge
0_Wavelet absolute mean_125000000.0Hz,40,0.0016848519866449,Bayesian Ridge
0_Median absolute diff,41,0.0004434160583097,Bayesian Ridge
0_Median diff,42,0.000179000299635,Bayesian Ridge
0_Peak to peak distance,1,37.579210875397024,XGBoost
0_Spectral entropy,2,19.37625331662881,XGBoost
0_Autocorrelation,3,10.606350583782673,XGBoost
0_Interquartile range,4,3.6147765952013446,XGBoost
0_Spectral variation,5,3.394699630307219,XGBoost
0_Mean diff,6,2.106441700218057,XGBoost
0_Entropy,7,1.9164886097752167,XGBoost
0_Wavelet energy_125000000.0Hz,8,1.351710435955723,XGBoost
0_Max,9,1.2749849649672709,XGBoost
0_Histogram mode,10,1.1684040374773863,XGBoost
0_MFCC_11,11,0.9452173576221488,XGBoost
0_LPCC_0,12,0.9325452942427248,XGBoost
0_LPCC_6,13,0.9313882231605548,XGBoost
0_Wavelet entropy,14,0.8761213191251583,XGBoost
0_Absolute energy,15,0.852757172772785,XGBoost
0_Slope,16,0.8361945851491761,XGBoost
0_MFCC_9,17,0.807081522900425,XGBoost
0_MFCC_0,18,0.6575566961448948,XGBoost
0_MFCC_5,19,0.5181095958142231,XGBoost
0_MFCC_8,20,0.4890201007320234,XGBoost
0_Spectral positive turning points,21,0.4507579470465115,XGBoost
0_MFCC_10,22,0.387336355589206,XGBoost
0_Maximum frequency,23,0.3840268295669307,XGBoost
0_Wavelet absolute mean_125000000.0Hz,24,0.3638138714169462,XGBoost
0_Median absolute diff,25,0.3465069710512955,XGBoost
0_Median,26,0.343101932503966,XGBoost
0_ECDF Percentile_1,27,0.3114467630886161,XGBoost
0_Fundamental frequency,28,0.3108315393209456,XGBoost
0_LPCC_1,29,0.3018281979794925,XGBoost
0_Mean,30,0.2950002964992075,XGBoost
0_Wavelet absolute mean_27777777.78Hz,31,0.2702056219727733,XGBoost
0_LPCC_5,32,0.2479525103534262,XGBoost
0_Negative turning points,33,0.2418351793817555,XGBoost
0_MFCC_4,34,0.231246791504696,XGBoost
0_Spectral decrease,35,0.2141147677463789,XGBoost
0_ECDF Percentile_0,36,0.2003134551397214,XGBoost
0_Median frequency,37,0.1644267051160335,XGBoost
0_Neighbourhood peaks,38,0.0918765735708487,XGBoost
0_Median diff,39,0.0916789778769016,XGBoost
0_Zero crossing rate,40,0.0714396585638324,XGBoost
0_Power bandwidth,41,0.0,XGBoost
0_Spectral roll-on,42,0.0,XGBoost
0_Spectral entropy,1,9.430205836398075,SVR
0_ECDF Percentile_0,2,9.024270186146513,SVR
0_LPCC_0,3,9.012161033753287,SVR
0_Peak to peak distance,4,8.808541132449943,SVR
0_Median,5,7.911480418546425,SVR
0_Interquartile range,6,7.905480755169593,SVR
0_Spectral decrease,7,7.516445040691151,SVR
0_Spectral variation,8,7.418368873867586,SVR
0_Mean diff,9,6.766633372131014,SVR
0_Absolute energy,10,6.450475299858277,SVR
0_Wavelet absolute mean_27777777.78Hz,11,5.714037224761608,SVR
0_MFCC_11,12,4.619889766681679,SVR
0_Slope,13,4.396191539446727,SVR
0_Wavelet absolute mean_125000000.0Hz,14,4.298722288148021,SVR
0_Max,15,2.0800265645127185,SVR
0_Autocorrelation,16,1.3490410963191624,SVR
0_Wavelet entropy,17,0.8547355747403721,SVR
0_Maximum frequency,18,0.729619801236462,SVR
0_MFCC_5,19,0.6324576033362849,SVR
0_Mean,20,0.6017121426758298,SVR
0_MFCC_0,21,0.5955476580901051,SVR
0_MFCC_9,22,0.5629042467778334,SVR
0_MFCC_10,23,0.2521004690505061,SVR
0_Spectral roll-on,24,0.163527235131474,SVR
0_MFCC_4,25,0.1113454977916826,SVR
0_Median absolute diff,26,0.0964793852098447,SVR
0_MFCC_8,27,0.0627190571884475,SVR
0_LPCC_1,28,0.0,SVR
0_Entropy,29,0.0,SVR
0_Fundamental frequency,30,0.0,SVR
0_ECDF Percentile_1,31,0.0,SVR
0_Histogram mode,32,0.0,SVR
0_LPCC_5,33,0.0,SVR
0_LPCC_6,34,0.0,SVR
0_Median diff,35,0.0,SVR
0_Median frequency,36,0.0,SVR
0_Negative turning points,37,0.0,SVR
0_Neighbourhood peaks,38,0.0,SVR
0_Power bandwidth,39,0.0,SVR
0_Spectral positive turning points,40,0.0,SVR
0_Wavelet energy_125000000.0Hz,41,0.0,SVR
0_Zero crossing rate,42,0.0,SVR
0_Peak to peak distance,1,16.804761875420123,Random Forest
0_Spectral entropy,2,8.304306733191616,Random Forest
0_Absolute energy,3,8.076860787247854,Random Forest
0_Autocorrelation,4,5.387460479287496,Random Forest
0_Spectral variation,5,5.358741617728731,Random Forest
0_Entropy,6,5.255462070263947,Random Forest
0_Interquartile range,7,4.020969323403746,Random Forest
0_Wavelet energy_125000000.0Hz,8,3.1641774413589308,Random Forest
0_ECDF Percentile_0,9,2.86161506350971,Random Forest
0_Histogram mode,10,2.501596146466093,Random Forest
0_Wavelet absolute mean_125000000.0Hz,11,2.140154990182677,Random Forest
0_MFCC_11,12,1.973996648085195,Random Forest
0_LPCC_0,13,1.2344060690344898,Random Forest
0_Slope,14,1.050689365596751,Random Forest
0_Fundamental frequency,15,0.9354838190622318,Random Forest
0_Mean diff,16,0.9170312725147196,Random Forest
0_Wavelet absolute mean_27777777.78Hz,17,0.7961267164828081,Random Forest
0_MFCC_0,18,0.7858613651671834,Random Forest
0_ECDF Percentile_1,19,0.6960692409325779,Random Forest
0_Median frequency,20,0.6876049682999262,Random Forest
0_MFCC_9,21,0.685986611172262,Random Forest
0_Wavelet entropy,22,0.6682195894102275,Random Forest
0_MFCC_8,23,0.588912018947893,Random Forest
0_MFCC_10,24,0.5445723013045849,Random Forest
0_MFCC_5,25,0.4884309920710938,Random Forest
0_Max,26,0.4679159698846324,Random Forest
0_Maximum frequency,27,0.3868909930224842,Random Forest
0_Zero crossing rate,28,0.3480347206155887,Random Forest
0_Spectral decrease,29,0.3370062389258683,Random Forest
0_Median,30,0.3266082019974476,Random Forest
0_LPCC_5,31,0.2869369757772384,Random Forest
0_LPCC_1,32,0.281306908161975,Random Forest
0_LPCC_6,33,0.2283107772263581,Random Forest
0_Mean,34,0.19488820519899,Random Forest
0_MFCC_4,35,0.172718873837008,Random Forest
0_Power bandwidth,36,0.0957899131392439,Random Forest
0_Spectral positive turning points,37,0.0817265968299276,Random Forest
0_Median absolute diff,38,0.0625376371630778,Random Forest
0_Negative turning points,39,0.0483901287343042,Random Forest
0_Spectral roll-on,40,0.0154949403073017,Random Forest
0_Neighbourhood peaks,41,0.0096382964311167,Random Forest
0_Median diff,42,0.0,Random Forest
0_Maximum frequency,1,10227034.46292401,Bayesian Ridge
0_Median frequency,2,2997725.382986876,Bayesian Ridge
0_Fundamental frequency,3,2597629.616146108,Bayesian Ridge
0_Spectral roll-on,4,1643215.157701196,Bayesian Ridge
0_Power bandwidth,5,1412419.7882796652,Bayesian Ridge
0_MFCC_11,6,1479.6016598379188,Bayesian Ridge
0_MFCC_4,7,1431.7052517567245,Bayesian Ridge
0_MFCC_5,8,1158.5795208991428,Bayesian Ridge
0_MFCC_9,9,1114.8579760375749,Bayesian Ridge
0_MFCC_8,10,439.0942983332282,Bayesian Ridge
0_MFCC_10,11,227.76600946673963,Bayesian Ridge
0_MFCC_0,12,190.4182839931608,Bayesian Ridge
0_Absolute energy,13,18.60833442733948,Bayesian Ridge
0_Spectral decrease,14,7.133108982882243,Bayesian Ridge
0_Peak to peak distance,15,5.864028518093466,Bayesian Ridge
0_Autocorrelation,16,5.802685429344477,Bayesian Ridge
0_Spectral positive turning points,17,4.4018318131261305,Bayesian Ridge
0_ECDF Percentile_0,18,3.682176862414179,Bayesian Ridge
0_Max,19,2.001939401536133,Bayesian Ridge
0_ECDF Percentile_1,20,1.8941515204009869,Bayesian Ridge
0_Mean,21,1.868101639679252,Bayesian Ridge
0_Interquartile range,22,1.0425522477536422,Bayesian Ridge
0_Median,23,0.961178114709008,Bayesian Ridge
