Modelo,Media (R2),Std (Desviación)
SVR,0.9826250000000001,0.00373993936643985
RF,0.9286650000000001,0.032912597370255744
Bayesian,0.9580319999999999,0.038513457912839257
XGB,0.960924,0.02194439308522312
